Wavelength	A00133.asd
350	 0.326476012461347 
351	 0.315909169187723 
352	 0.293606977236301 
353	 0.270221302038105 
354	 0.266074135314694 
355	 0.237836213621767 
356	 0.216773526396078 
357	 0.225471182008694 
358	 0.216146993227908 
359	 0.205312390089437 
360	 0.197613042441174 
361	 0.191933282950025 
362	 0.177910455450537 
363	 0.166946131042598 
364	 0.165381161293753 
365	 0.17079796694974 
366	 0.158941809284424 
367	 0.151330042582295 
368	 0.162777970895683 
369	 0.158084434567312 
370	 0.149085239362348 
371	 0.144140793052846 
372	 0.14655388617853 
373	 0.136207275661775 
374	 0.126828419570898 
375	 0.124910804845457 
376	 0.123358605927066 
377	 0.121972099458899 
378	 0.121198899777459 
379	 0.120757123800171 
380	 0.116623258754615 
381	 0.115292525020684 
382	 0.114817609944216 
383	 0.109955577508812 
384	 0.112422526555996 
385	 0.111678535884281 
386	 0.105684815527139 
387	 0.107586097393879 
388	 0.105518119330055 
389	 0.101389001399728 
390	 9.97861322939833E-02 
391	 0.102018272016073 
392	 0.100327512425652 
393	 9.64721170680521E-02 
394	 9.72765614640663E-02 
395	 9.52560537817241E-02 
396	 9.31316182875735E-02 
397	 9.28333506293315E-02 
398	 9.32769219270898E-02 
399	 8.96356248168713E-02 
400	 8.63716892555543E-02 
401	 8.79760195208565E-02 
402	 8.79951233170177E-02 
403	 8.70324595742198E-02 
404	 8.61768386672124E-02 
405	 8.64109245843553E-02 
406	 8.43219285832444E-02 
407	 8.25752177517387E-02 
408	 8.25344933697673E-02 
409	 8.14911664269497E-02 
410	 8.09870021126811E-02 
411	 0.080404255861845 
412	 7.89348227172366E-02 
413	 7.80204472736242E-02 
414	 7.78474159612945E-02 
415	 0.078196016503802 
416	 0.078539176661086 
417	 7.80202901994814E-02 
418	 0.077192687829178 
419	 7.65131979639737E-02 
420	 7.54780203881142E-02 
421	 0.074984625183116 
422	 7.51085386259844E-02 
423	 7.53787813950499E-02 
424	 7.43777544937324E-02 
425	 7.33993537741977E-02 
426	 7.32629497835478E-02 
427	 7.39828159890351E-02 
428	 7.37122876171924E-02 
429	 7.29294965222167E-02 
430	 7.25036405732587E-02 
431	 7.27708067977133E-02 
432	 7.28469620084157E-02 
433	 7.25401247101122E-02 
434	 7.21119433659789E-02 
435	 7.19669434361077E-02 
436	 7.15707367235102E-02 
437	 7.09548875695558E-02 
438	 7.12042043386263E-02 
439	 7.13847893626797E-02 
440	 7.12159603291193E-02 
441	 7.07692699143032E-02 
442	 7.06908212546495E-02 
443	 7.05403220174647E-02 
444	 7.03407979895026E-02 
445	 7.04675261492438E-02 
446	 7.03640536104653E-02 
447	 7.00975361108228E-02 
448	 6.98554713862179E-02 
449	 6.98643445556825E-02 
450	 6.99019413978527E-02 
451	 6.98364839098611E-02 
452	 6.96210902903379E-02 
453	 6.94689016211008E-02 
454	 6.94183143251583E-02 
455	 0.069358235268905 
456	 6.90406662417484E-02 
457	 6.88038995633308E-02 
458	 6.86604250743823E-02 
459	 6.85511597968548E-02 
460	 6.84091753899746E-02 
461	 6.85553977989581E-02 
462	 6.88201434705485E-02 
463	 0.068783808820202 
464	 6.84701852071076E-02 
465	 6.83720314656051E-02 
466	 6.85132935032793E-02 
467	 6.81163185267324E-02 
468	 6.77777865385219E-02 
469	 6.76726252211044E-02 
470	 6.78271872586857E-02 
471	 6.82849835907822E-02 
472	 6.81827680191966E-02 
473	 6.76719969821875E-02 
474	 0.067679742023349 
475	 6.77525598269211E-02 
476	 6.77552822566767E-02 
477	 6.76784762850688E-02 
478	 6.77080376680454E-02 
479	 0.067520894368876 
480	 6.72753194659364E-02 
481	 0.067278440009265 
482	 6.75267469386545E-02 
483	 6.73220500419729E-02 
484	 6.67356920763578E-02 
485	 6.67404235182788E-02 
486	 6.68918712380774E-02 
487	 6.70383623874021E-02 
488	 6.70888560193739E-02 
489	 6.69555125518571E-02 
490	 6.67731504888815E-02 
491	 6.66397395822425E-02 
492	 6.65956611304151E-02 
493	 6.63765555759659E-02 
494	 6.62660141390879E-02 
495	 6.63595069569659E-02 
496	 0.066331808905485 
497	 0.066382091042921 
498	 6.64528272377307E-02 
499	 6.64195310903813E-02 
500	 6.61738709779257E-02 
501	 6.62190698457851E-02 
502	 6.64411368912627E-02 
503	 6.62020059552562E-02 
504	 6.59206033556581E-02 
505	 6.58734945824495E-02 
506	 6.60898917873445E-02 
507	 6.60762760025465E-02 
508	 6.61721946937056E-02 
509	 0.066226840788274 
510	 6.59853936867857E-02 
511	 6.60615703860309E-02 
512	 6.60655592612137E-02 
513	 6.59266542461142E-02 
514	 6.60978009194587E-02 
515	 0.066172002565083 
516	 6.61802353754972E-02 
517	 6.62240169755467E-02 
518	 6.62341171059812E-02 
519	 6.62346984441727E-02 
520	 6.63090641630175E-02 
521	 6.65510035654825E-02 
522	 6.66801583851543E-02 
523	 6.68463834185881E-02 
524	 6.71029069963032E-02 
525	 6.71816101180063E-02 
526	 6.72741916935837E-02 
527	 6.73982586943398E-02 
528	 6.75233711894332E-02 
529	 6.77048179904351E-02 
530	 6.78917476156284E-02 
531	 6.80510331192265E-02 
532	 6.81776730146862E-02 
533	 6.84406634750409E-02 
534	 0.068644713735183 
535	 6.86565499860693E-02 
536	 6.87509869205737E-02 
537	 6.89237924966254E-02 
538	 6.91607028223062E-02 
539	 6.94137458229394E-02 
540	 6.94334056290607E-02 
541	 6.94941361091224E-02 
542	 6.97118499476289E-02 
543	 6.98471153397566E-02 
544	 6.98970306973396E-02 
545	 6.99322272496617E-02 
546	 7.00308689330793E-02 
547	 7.01611554166909E-02 
548	 7.02620312741159E-02 
549	 7.03232233685825E-02 
550	 7.03819650040643E-02 
551	 7.04336815130414E-02 
552	 7.05961454145517E-02 
553	 7.08759072987251E-02 
554	 7.09761940090797E-02 
555	 0.071085881288208 
556	 7.12420840415728E-02 
557	 7.14091388958952E-02 
558	 7.15127306994957E-02 
559	 7.16500897712804E-02 
560	 7.18265598099442E-02 
561	 7.19058261514534E-02 
562	 7.19866922848826E-02 
563	 0.07216139946612 
564	 7.24520190735754E-02 
565	 7.26132341163182E-02 
566	 7.28011212821059E-02 
567	 7.31002696344314E-02 
568	 7.35211480381579E-02 
569	 0.073977886292267 
570	 7.44733244130087E-02 
571	 7.51199609393603E-02 
572	 7.61888302741723E-02 
573	 7.79560501588647E-02 
574	 8.04523849460121E-02 
575	 8.33219522084955E-02 
576	 8.54753322709931E-02 
577	 8.72144731172059E-02 
578	 8.87111505420933E-02 
579	 8.98516710300091E-02 
580	 9.12076130248959E-02 
581	 9.28735530272159E-02 
582	 9.49575179533865E-02 
583	 9.79369528666046E-02 
584	 0.101673838679773 
585	 0.106193020495948 
586	 0.111591900720134 
587	 0.117778331173756 
588	 0.124771575375601 
