Wavelength	spectrum00020.asd
350	 4.66758851444038E-02 
351	 0.045470646222402 
352	 4.55244399007014E-02 
353	 4.60612966798056E-02 
354	 4.53644971040244E-02 
355	 4.53654486571277E-02 
356	 4.52829521592514E-02 
357	 4.37733440496267E-02 
358	 3.89289518067571E-02 
359	 3.81469387595874E-02 
360	 4.04179469792233E-02 
361	 4.06988456023783E-02 
362	 4.07320136023333E-02 
363	 3.95614370076998E-02 
364	 3.73247111246248E-02 
365	 3.57520948963117E-02 
366	 3.71211058066675E-02 
367	 3.89003608049093E-02 
368	 3.85932497936161E-02 
369	 3.78119762086855E-02 
370	 3.68421878973201E-02 
371	 3.62384970888882E-02 
372	 3.65251283127658E-02 
373	 3.67555478085255E-02 
374	 3.74616630193543E-02 
375	 3.84285592855809E-02 
376	 3.81879027546241E-02 
377	 3.75276286779102E-02 
378	 3.72843506303762E-02 
379	 3.77296858391322E-02 
380	 3.71826984333209E-02 
381	 3.69560627175377E-02 
382	 3.64859138524384E-02 
383	 3.46041432428247E-02 
384	 3.61233447786526E-02 
385	 3.71737958785986E-02 
386	 3.60443098702761E-02 
387	 3.57183787796239E-02 
388	 3.56403523052129E-02 
389	 3.58746750516737E-02 
390	 3.63117261639846E-02 
391	 3.58608583780562E-02 
392	 3.55437096582512E-02 
393	 3.53240419134709E-02 
394	 3.45926068354051E-02 
395	 3.48742177415862E-02 
396	 3.54431916668964E-02 
397	 3.56699988020315E-02 
398	 0.035595863765091 
399	 0.035058316795857 
400	 0.034761971233571 
401	 3.51098396915467E-02 
402	 3.41098428351309E-02 
403	 3.40978895122517E-02 
404	 3.50584420984984E-02 
405	 3.51883095390286E-02 
406	 0.034757783988511 
407	 3.42053925303008E-02 
408	 3.39281495624296E-02 
409	 3.42471658186722E-02 
410	 3.42172639322194E-02 
411	 3.41462212493724E-02 
412	 3.45504259475331E-02 
413	 3.48594002362954E-02 
414	 3.42735637562261E-02 
415	 3.34057730915872E-02 
416	 3.39812700442701E-02 
417	 3.40217624257178E-02 
418	 3.38391636809607E-02 
419	 3.38559969003139E-02 
420	 3.37725364925869E-02 
421	 3.35432589377977E-02 
422	 3.34088614968031E-02 
423	 3.35973837099667E-02 
