Carpeta,Tabla,Espectro,Pigmento,Aglutinante,Base de preparacion
Tabla 3,Tabla SVIII,ProbetaAcolman00001.asd.txt,blanco de plomo,aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00002.asd.txt,grafito,aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00003.asd.txt,negro de humo,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00004.asd.txt,añil,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00005.asd.txt,tierra de sombra tostada,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00006.asd.txt,cochinilla,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00007.asd.txt,negro de humo,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00008.asd.txt,blanco de plomo,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00009.asd.txt,azurita,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00010.asd.txt,esmalte,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00011.asd.txt,añil,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00012.asd.txt,cinabrio,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00013.asd.txt,cochinilla,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00014.asd.txt,blanco de plomo,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00015.asd.txt,blanco de plomo,aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00016.asd.txt,azurita,yema de huevo + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00017.asd.txt,esmalte,yema de huevo + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00018.asd.txt,añil,yema de huevo + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00019.asd.txt,cinabrio,yema de huevo + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00020.asd.txt,cochinilla,yema de huevo + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00021.asd.txt,blanco de plomo,yema de huevo + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00022.asd.txt,blanco de plomo,yema de huevo + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00023.asd.txt,azurita + añil,yema de huevo + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00024.asd.txt,azurita + añil,yema de huevo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00025.asd.txt,azurita + añil + cochinilla,yema de huevo + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00026.asd.txt,cinabrio + azurita + cochinilla,yema + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00027.asd.txt,cinabrio + azurita + cochinilla,yema + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00028.asd.txt,cinabrio + cochinilla,yema de huevo + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00029.asd.txt,blanco de plomo,yema de huevo + aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00030.asd.txt,blanco de plomo,cola de conejo,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00031.asd.txt,azurita,aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00032.asd.txt,esmalte,aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00033.asd.txt,añil,aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00034.asd.txt,cinabrio,aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00035.asd.txt,cochinilla,aceite de linaza,carbonato de calcio
Tabla 3,Tabla SVIII,ProbetaAcolman00036.asd.txt,blanco de plomo,aceite de linaza,carbonato de calcio
