Wavelength	Tablay400125.asd
350	 0.110374402573667 
351	 8.35804138992636E-02 
352	 4.32065459839279E-02 
353	 4.83478187435343E-02 
354	 8.29865676410952E-02 
355	 8.08943064762976E-02 
356	 0.063613294148079 
357	 5.59936181741855E-02 
358	 3.51750893138232E-02 
359	 4.93687127858545E-02 
360	 8.09714248934852E-02 
361	 7.92142035500067E-02 
362	 7.47539104824654E-02 
363	 0.102661333974857 
364	 0.13997801820112 
365	 7.91167424202101E-02 
366	 5.93875816406495E-02 
367	 6.67005135439996E-02 
368	 6.65567731766682E-02 
369	 9.07266883691959E-02 
370	 8.01568124157203E-02 
371	 6.45081626287804E-02 
372	 0.109876638939517 
373	 9.50803072854532E-02 
374	 4.38338561829789E-02 
375	 1.14717401513108E-02 
376	 0.072040268219162 
377	 6.73242929141254E-02 
378	 5.86658725605501E-02 
379	 0.107108293959897 
380	 8.50337322000543E-02 
381	 5.94634483891593E-02 
382	 5.88497914796524E-02 
383	 7.53622214492962E-02 
384	 7.41006999319507E-02 
385	 4.41926247306084E-02 
386	 1.07039509076111E-02 
387	 5.22582496506362E-02 
388	 8.87075363312396E-02 
389	 9.70305921145904E-02 
390	 7.96999005728721E-02 
391	 6.96251974722615E-02 
392	 8.89198475110313E-02 
393	 9.78583035708979E-02 
394	 0.03173189998875 
395	 3.01301212525051E-02 
396	 5.30866318016508E-02 
397	 6.19392347182495E-02 
398	 5.38323404377399E-02 
399	 7.47704978683904E-02 
400	 8.88106704207048E-02 
401	 6.23268114707177E-02 
402	 5.24751841291469E-02 
403	 5.65741613467396E-02 
404	 6.70334378609642E-02 
405	 7.47482753027198E-02 
406	 7.27014480112952E-02 
407	 6.68875837297079E-02 
408	 6.16925189393559E-02 
409	 5.33487394041559E-02 
410	 6.58302117494573E-02 
411	 7.89215666790208E-02 
412	 6.93739188962096E-02 
413	 7.19084102865189E-02 
414	 6.30826183018439E-02 
415	 4.97556538776495E-02 
416	 6.35142825965096E-02 
417	 6.77741544595405E-02 
418	 6.70398348223554E-02 
419	 6.77032511078986E-02 
420	 6.31993765776968E-02 
421	 5.93302120166271E-02 
422	 5.74927008405035E-02 
423	 5.74871725970546E-02 
424	 6.01916669816449E-02 
425	 6.26770727475347E-02 
426	 6.31970497806996E-02 
427	 6.17025168642279E-02 
428	 5.58396379472423E-02 
429	 4.99256861589795E-02 
430	 4.89619594098342E-02 
431	 5.76546434901614E-02 
432	 6.14965364154209E-02 
433	 5.96282069008362E-02 
434	 5.86545129157914E-02 
435	 5.91111774810619E-02 
436	 0.060158227014703 
437	 5.99845479146497E-02 
438	 5.53980219349149E-02 
439	 5.58455047422165E-02 
440	 5.74079253288799E-02 
441	 5.53229463550766E-02 
442	 5.82102855608608E-02 
443	 0.059024976620742 
444	 5.69239069613532E-02 
445	 5.60480861738378E-02 
446	 5.55957693727549E-02 
447	 5.58486343982371E-02 
448	 5.64072235229633E-02 
449	 5.48224773443662E-02 
450	 5.66631443913498E-02 
451	 5.88782951051733E-02 
452	 5.67940021876643E-02 
453	 5.66686685933711E-02 
454	 5.68677186037852E-02 
455	 0.056038407107472 
456	 5.37749766693904E-02 
457	 5.29321936148488E-02 
458	 5.39701775860668E-02 
459	 5.60174046568348E-02 
460	 5.63044714059865E-02 
461	 5.65489957928042E-02 
462	 5.57490355299173E-02 
463	 5.24457453253262E-02 
464	 5.42796201756296E-02 
465	 5.46205999750341E-02 
466	 5.18044789887957E-02 
467	 5.38358373558336E-02 
468	 5.38652305988339E-02 
469	 5.31870187938887E-02 
470	 5.40477834417163E-02 
471	 5.27800687244012E-02 
472	 5.32181602499637E-02 
473	 5.50670617511686E-02 
474	 5.49493965605112E-02 
475	 5.49525027655963E-02 
476	 5.49383265036233E-02 
477	 5.44270041991775E-02 
478	 5.25499690432901E-02 
479	 0.0532030474192 
480	 5.45911927233836E-02 
481	 0.053557972157853 
482	 5.32162197291699E-02 
483	 5.32266731684808E-02 
484	 5.32767590310758E-02 
485	 5.33510998042419E-02 
486	 5.37789267837438E-02 
487	 5.35113957300974E-02 
488	 5.21203849891492E-02 
489	 5.17749944872612E-02 
490	 5.19850643463632E-02 
491	 5.23954152945411E-02 
492	 0.052777651146851 
493	 5.37826106582549E-02 
494	 5.30772567694349E-02 
495	 5.07810219815887E-02 
496	 0.051387026847044 
497	 0.051894085324621 
498	 5.11149510830254E-02 
499	 4.92955565613613E-02 
500	 5.04236480880092E-02 
501	 5.13454679689591E-02 
502	 0.051222785113812 
503	 5.13833488723124E-02 
504	 5.07383900482268E-02 
505	 5.04237373871738E-02 
506	 5.11329975605868E-02 
507	 0.051811577005659 
508	 5.17197947115237E-02 
509	 5.14356161301879E-02 
510	 5.18411067718536E-02 
511	 5.14200560251473E-02 
512	 5.03100311933232E-02 
513	 4.95915307742513E-02 
514	 5.13508312363986E-02 
515	 0.05091293187503 
516	 4.97954964145582E-02 
517	 0.050137840346365 
518	 5.05806337486186E-02 
519	 0.050548418763612 
520	 0.050188233826042 
521	 5.00730856525299E-02 
522	 4.93990750914275E-02 
523	 0.049529637919636 
524	 5.06502010838246E-02 
525	 5.01291459651598E-02 
526	 4.95141762761169E-02 
527	 0.049375765515996 
528	 0.04981431023051 
529	 5.02770783576719E-02 
530	 5.01220487722838E-02 
531	 4.95943287005767E-02 
532	 4.98087900068642E-02 
533	 5.01929383218464E-02 
534	 5.01521491811846E-02 
535	 4.96326456874759E-02 
536	 5.01660169466846E-02 
537	 5.03536265948562E-02 
