Wavelength	TC7.015
350	 0.19865095615387 
351	 0.190681174397469 
352	 0.18521685898304 
353	 0.181709602475166 
354	 0.175023898482323 
355	 0.165770426392555 
356	 0.158245995640755 
357	 0.154053553938866 
358	 0.142805054783821 
359	 0.137165129184723 
360	 0.138169378042221 
361	 0.139965802431107 
362	 0.138244554400444 
363	 0.128560915589333 
364	 0.115593530237675 
365	 0.115186750888824 
366	 0.119121715426445 
367	 0.116672895848751 
368	 0.10495039075613 
369	 0.106690183281898 
370	 0.104318864643574 
371	 0.100013814866543 
372	 0.104597941040993 
373	 0.102870188653469 
374	 9.94295105338097E-02 
375	 9.80734601616859E-02 
376	 9.85800921916962E-02 
377	 9.60560292005539E-02 
378	 9.08171162009239E-02 
379	 8.54125693440437E-02 
380	 8.46501886844635E-02 
381	 8.52143317461014E-02 
382	 0.083848774433136 
383	 7.85983875393867E-02 
384	 7.65954926609993E-02 
385	 7.91731402277946E-02 
386	 8.20880457758904E-02 
387	 7.40232095122337E-02 
388	 7.27111026644707E-02 
389	 7.47038498520851E-02 
390	 7.28792101144791E-02 
391	 6.83328807353973E-02 
392	 6.62944763898849E-02 
393	 0.066292978823185 
394	 6.44226223230362E-02 
395	 6.23544007539749E-02 
396	 0.061407096683979 
397	 6.15183636546135E-02 
398	 6.05843663215637E-02 
399	 5.87794743478298E-02 
400	 0.056848831474781 
401	 5.56088797748089E-02 
402	 5.52904605865479E-02 
403	 0.055432353168726 
404	 5.48718832433224E-02 
405	 5.23056723177433E-02 
406	 5.07892221212387E-02 
407	 4.95057441294193E-02 
408	 4.80954647064209E-02 
409	 4.83736097812653E-02 
410	 4.75414209067822E-02 
411	 4.66065369546413E-02 
412	 0.047015119343996 
413	 4.60752695798874E-02 
414	 4.41760718822479E-02 
415	 4.27073836326599E-02 
416	 4.35491427779198E-02 
417	 4.33373041450977E-02 
418	 4.25215736031532E-02 
419	 4.18670624494553E-02 
420	 4.11845371127129E-02 
421	 4.05241772532463E-02 
422	 4.03776802122593E-02 
423	 4.10382188856602E-02 
424	 0.040539812296629 
425	 3.99305485188961E-02 
426	 3.96782904863358E-02 
427	 3.93365286290646E-02 
428	 3.92147786915302E-02 
429	 3.90508957207203E-02 
430	 3.84619534015656E-02 
431	 3.67932021617889E-02 
432	 3.67761105298996E-02 
433	 0.037716768682003 
434	 3.72689068317413E-02 
435	 3.69068942964077E-02 
436	 3.67503762245178E-02 
437	 0.036774467676878 
438	 3.69913205504417E-02 
439	 3.69012877345085E-02 
440	 3.65886390209198E-02 
441	 3.63177806138992E-02 
442	 3.62786166369915E-02 
443	 0.036220021545887 
444	 3.61242033541203E-02 
445	 3.61498445272446E-02 
446	 3.60859557986259E-02 
447	 0.035795334726572 
448	 0.035390917211771 
449	 0.035539124161005 
450	 3.53765711188316E-02 
451	 3.51090766489506E-02 
452	 3.51813733577728E-02 
453	 3.47889624536037E-02 
454	 3.48120406270027E-02 
455	 3.51004637777805E-02 
456	 3.43186892569065E-02 
457	 3.42151634395123E-02 
458	 3.42517755925655E-02 
459	 3.38804721832275E-02 
460	 3.41260693967342E-02 
461	 3.39949876070023E-02 
462	 3.35255041718483E-02 
463	 3.32972556352615E-02 
464	 3.31700369715691E-02 
465	 3.30638736486435E-02 
466	 3.29409204423428E-02 
467	 3.28370332717896E-02 
468	 3.24387848377228E-02 
469	 3.20299006998539E-02 
470	 3.19757610559464E-02 
471	 3.22775170207024E-02 
472	 3.21531109511852E-02 
473	 3.16918194293976E-02 
474	 3.16395089030266E-02 
475	 3.14692482352257E-02 
476	 0.031038349494338 
477	 3.05149052292109E-02 
478	 3.06563545018435E-02 
479	 0.03057493083179 
480	 0.030306488275528 
481	 3.01873553544283E-02 
482	 2.99831088632345E-02 
483	 2.98679191619158E-02 
484	 0.029851321130991 
485	 2.97320820391178E-02 
486	 2.95914988964796E-02 
487	 2.93363481760025E-02 
488	 2.89772432297468E-02 
489	 2.89463456720114E-02 
490	 2.89355088025332E-02 
491	 2.88608185946941E-02 
492	 2.87802275270224E-02 
493	 2.87702158093452E-02 
494	 2.85411514341831E-02 
495	 2.81266551464796E-02 
496	 2.81671602278948E-02 
497	 2.80477441847324E-02 
498	 2.79129948467016E-02 
499	 2.80027166008949E-02 
500	 2.79111601412296E-02 
501	 2.76618469506502E-02 
502	 2.73751635104418E-02 
503	 2.72308271378279E-02 
504	 2.72189751267433E-02 
505	 2.71768029779196E-02 
506	 2.70241592079401E-02 
507	 2.69492175430059E-02 
508	 2.68007796257734E-02 
509	 2.66768299043179E-02 
510	 2.67316717654467E-02 
511	 2.67198737710714E-02 
512	 2.66053453087807E-02 
513	 2.64440402388573E-02 
514	 2.63800118118525E-02 
515	 2.62907445430756E-02 
516	 2.61418260633945E-02 
517	 2.59738657623529E-02 
518	 0.026015916839242 
519	 2.59865522384644E-02 
520	 2.58767977356911E-02 
521	 2.58611831814051E-02 
522	 2.58566699922085E-02 
523	 2.57314890623093E-02 
524	 2.55028754472733E-02 
525	 0.025507228448987 
526	 2.53648906946182E-02 
527	 2.52176355570555E-02 
528	 2.52967067062855E-02 
529	 2.52465065568686E-02 
530	 2.51579973846674E-02 
531	 2.51027252525091E-02 
532	 2.50993799418211E-02 
533	 2.51201391220093E-02 
534	 2.51165069639683E-02 
535	 2.50633880496025E-02 
536	 2.50024199485779E-02 
537	 2.49909721314907E-02 
538	 0.024989290162921 
539	 2.49180272221565E-02 
540	 2.48733125627041E-02 
541	 2.48746853321791E-02 
542	 2.49055996537209E-02 
543	 2.49089691787958E-02 
544	 0.024921951815486 
545	 2.48719155788422E-02 
546	 2.47269738465548E-02 
547	 2.47759949415922E-02 
548	 2.48351078480482E-02 
549	 2.48324237763882E-02 
550	 2.48130150139332E-02 
551	 2.47488878667355E-02 
552	 2.47331596910954E-02 
553	 2.47966572642326E-02 
554	 2.47582495212555E-02 
555	 2.47100908309221E-02 
556	 2.47179083526134E-02 
557	 2.48121954500675E-02 
558	 2.48458683490753E-02 
559	 2.48827580362558E-02 
560	 2.49606836587191E-02 
561	 2.50551216304302E-02 
562	 2.50193458050489E-02 
563	 2.50289589166641E-02 
564	 2.52273865044117E-02 
565	 0.025294367223978 
566	 2.53309439867735E-02 
567	 0.025397090241313 
568	 2.55172289907932E-02 
569	 0.025736391544342 
570	 2.59311627596617E-02 
571	 0.026046073064208 
572	 2.62153428047895E-02 
573	 2.64652166515589E-02 
574	 2.67476364970207E-02 
575	 2.70078312605619E-02 
576	 2.73801926523447E-02 
577	 2.77325883507729E-02 
578	 2.80744191259146E-02 
579	 2.85867135971785E-02 
580	 2.90914867073298E-02 
581	 2.96679176390171E-02 
582	 3.03789842873812E-02 
583	 3.10351811349392E-02 
584	 3.18832956254482E-02 
