Wavelength	3d.000
350	 0.107232861220837 
351	 0.101267695426941 
352	 0.096516028046608 
353	 9.54204201698303E-02 
354	 9.22908708453178E-02 
355	 9.02714505791664E-02 
356	 8.93992781639099E-02 
357	 8.84437412023544E-02 
358	 8.40816199779511E-02 
359	 8.15847516059875E-02 
360	 8.08069929480553E-02 
361	 7.90503025054932E-02 
362	 7.83834233880043E-02 
363	 7.69809633493423E-02 
364	 7.46492967009544E-02 
365	 7.37218782305717E-02 
366	 7.24698156118393E-02 
367	 7.12645053863525E-02 
368	 0.070713147521019 
369	 7.07236155867577E-02 
370	 7.02258795499802E-02 
371	 6.99829235672951E-02 
372	 7.12033733725548E-02 
373	 6.91457688808441E-02 
374	 6.76070675253868E-02 
375	 0.068040706217289 
376	 6.73280954360962E-02 
377	 6.60742446780205E-02 
378	 6.47889003157616E-02 
379	 6.39230981469154E-02 
380	 6.36342465877533E-02 
381	 6.36738166213036E-02 
382	 6.32356554269791E-02 
383	 0.061591811478138 
384	 0.061689592897892 
385	 6.24583065509796E-02 
386	 6.23883418738842E-02 
387	 0.059988409280777 
388	 5.89316003024578E-02 
389	 5.93080967664719E-02 
390	 5.98192363977432E-02 
391	 5.82049004733562E-02 
392	 5.71915544569492E-02 
393	 5.72533868253231E-02 
394	 5.72619177401066E-02 
395	 5.69263063371181E-02 
396	 5.68112246692181E-02 
397	 5.68608902394772E-02 
398	 5.57809695601463E-02 
399	 5.46421036124229E-02 
400	 5.38789220154285E-02 
401	 5.35642579197884E-02 
402	 5.31590394675732E-02 
403	 5.29315434396267E-02 
404	 5.26675507426262E-02 
405	 0.051876425743103 
406	 5.16891777515411E-02 
407	 5.12091182172298E-02 
408	 5.01811392605305E-02 
409	 5.01706078648567E-02 
410	 0.050022330135107 
411	 4.97400835156441E-02 
412	 4.96477335691452E-02 
413	 4.97964322566986E-02 
414	 4.92592342197895E-02 
415	 0.048440583050251 
416	 4.88318726420403E-02 
417	 4.81374450027943E-02 
418	 0.047608245164156 
419	 4.79937307536602E-02 
420	 4.74145598709583E-02 
421	 4.69070039689541E-02 
422	 4.68151718378067E-02 
423	 4.70771007239819E-02 
424	 4.70487773418427E-02 
425	 4.66548539698124E-02 
426	 4.61112186312675E-02 
427	 4.58812080323696E-02 
428	 4.60348725318909E-02 
429	 4.61488328874111E-02 
430	 4.58902940154076E-02 
431	 4.54871132969856E-02 
432	 4.54089678823948E-02 
433	 4.54290062189102E-02 
434	 4.50362823903561E-02 
435	 4.50281351804733E-02 
436	 4.52590361237526E-02 
437	 4.53805923461914E-02 
438	 4.48759607970715E-02 
439	 4.46884408593178E-02 
440	 4.47726063430309E-02 
441	 0.044820848852396 
442	 4.47895303368568E-02 
443	 4.47311140596867E-02 
444	 4.46797758340836E-02 
445	 4.46441471576691E-02 
446	 4.45368215441704E-02 
447	 4.44000400602818E-02 
448	 4.43153195083141E-02 
449	 4.44243587553501E-02 
450	 4.44661267101765E-02 
451	 4.43790331482887E-02 
452	 4.42415215075016E-02 
453	 4.44373898208141E-02 
454	 4.45174165070057E-02 
455	 4.43497262895107E-02 
456	 4.42200005054474E-02 
457	 4.42896522581577E-02 
458	 4.43745665252209E-02 
459	 4.43259626626968E-02 
460	 4.43731434643269E-02 
461	 4.43556159734726E-02 
462	 4.42270934581757E-02 
463	 0.044038325548172 
464	 4.40514348447323E-02 
465	 4.41405363380909E-02 
466	 4.41552214324474E-02 
467	 4.39703315496445E-02 
468	 4.39995639026165E-02 
469	 4.40625436604023E-02 
470	 4.39346544444561E-02 
471	 0.044003963470459 
472	 4.40593473613262E-02 
473	 0.044038150459528 
474	 0.044012151658535 
475	 0.043994378298521 
476	 4.39783558249474E-02 
477	 4.39679138362408E-02 
478	 4.40238937735558E-02 
479	 0.043887797743082 
480	 4.37070950865746E-02 
481	 4.37365844845772E-02 
482	 4.37795966863632E-02 
483	 4.38335053622723E-02 
484	 4.38631623983383E-02 
485	 4.37862500548363E-02 
486	 4.39109615981579E-02 
487	 4.39833626151085E-02 
488	 4.37957160174847E-02 
489	 4.36716340482235E-02 
490	 4.36940379440784E-02 
491	 4.38127368688583E-02 
492	 4.39013764262199E-02 
493	 4.40051071345806E-02 
494	 4.40601371228695E-02 
495	 4.40404117107391E-02 
496	 4.39953282475472E-02 
497	 4.39488738775253E-02 
