Wavelength	spectrum00009.asd
350	 0.053330754805193 
351	 0.052265452183989 
352	 4.98847065597975E-02 
353	 4.84143000382051E-02 
354	 4.99206494999878E-02 
355	 5.09780931468638E-02 
356	 4.97015795093764E-02 
357	 4.62944717456497E-02 
358	 4.54704566770072E-02 
359	 4.49294873002043E-02 
360	 4.43335796037626E-02 
361	 4.43051385042632E-02 
362	 4.44703451714655E-02 
363	 0.043926385182461 
364	 4.27454259503501E-02 
365	 4.22585193218083E-02 
366	 0.043260446964503 
367	 4.33839568531725E-02 
368	 4.14502926999889E-02 
369	 4.26103433906345E-02 
370	 4.36706306060458E-02 
371	 4.36361697919108E-02 
372	 4.29398937729198E-02 
373	 0.041975218137572 
374	 4.26014337274368E-02 
375	 4.41645483652368E-02 
376	 4.23199080419401E-02 
377	 4.22461822911748E-02 
378	 4.30170809601067E-02 
379	 4.28986886316807E-02 
380	 4.32422712647609E-02 
381	 4.37160765677975E-02 
382	 4.34538683435292E-02 
383	 4.17436183873883E-02 
384	 4.21170949166442E-02 
385	 4.32772141134805E-02 
386	 4.36206130757273E-02 
387	 4.19351779490634E-02 
388	 0.041427886513126 
389	 4.18307868515527E-02 
390	 4.20767619665105E-02 
391	 4.21516345750093E-02 
392	 4.24297290983458E-02 
393	 4.23828668149744E-02 
394	 4.12007210668932E-02 
395	 4.17174897608281E-02 
396	 4.21089251798273E-02 
397	 4.16846481955892E-02 
398	 4.27101074787239E-02 
399	 4.26232962076747E-02 
400	 4.17506943276271E-02 
401	 4.11874447746185E-02 
402	 0.041366292829025 
403	 0.041624169428963 
404	 4.16928707447693E-02 
405	 4.16520032683367E-02 
406	 4.15511355492829E-02 
407	 4.12793475131867E-02 
408	 4.09086224500406E-02 
409	 4.09251321114531E-02 
410	 4.08446827384092E-02 
411	 4.07958607653326E-02 
412	 4.09920802900663E-02 
413	 4.10867896765889E-02 
414	 4.07638960185043E-02 
415	 4.03919726540286E-02 
416	 4.08518748602656E-02 
417	 4.07232929363134E-02 
418	 4.05742543083778E-02 
419	 4.08235507583296E-02 
420	 4.06848540622915E-02 
421	 4.06639075956354E-02 
422	 4.07402499963626E-02 
423	 4.07220145373716E-02 
424	 4.08073250187015E-02 
425	 4.08274723402874E-02 
426	 4.07605342144283E-02 
427	 4.07783881537604E-02 
428	 4.07758094450886E-02 
429	 4.07558773724315E-02 
430	 0.040735926789899 
431	 4.06702211876289E-02 
432	 4.08928950885242E-02 
433	 4.11307781539758E-02 
434	 4.08771233856568E-02 
435	 4.08514094799056E-02 
436	 4.09815472467184E-02 
437	 4.10981581519014E-02 
438	 4.10187898645389E-02 
439	 4.11501258652372E-02 
440	 0.041275007827064 
441	 4.11360877358172E-02 
442	 4.10942533261166E-02 
443	 0.041225059199126 
444	 4.14174469022162E-02 
445	 4.14335864944252E-02 
446	 4.13766358553427E-02 
447	 4.13126938738164E-02 
448	 4.13119677755286E-02 
449	 4.14911481973492E-02 
450	 0.041549628983446 
451	 4.15468034585681E-02 
452	 4.16431239423576E-02 
453	 4.16569713985371E-02 
454	 4.16907747693547E-02 
455	 4.17505987281161E-02 
456	 4.17191332306224E-02 
457	 4.17347160922044E-02 
458	 4.17508854790691E-02 
459	 4.17272611827267E-02 
460	 4.17673184407902E-02 
461	 4.18348397863146E-02 
462	 4.18626943617762E-02 
463	 4.17969391532935E-02 
464	 4.18522873091329E-02 
465	 4.19471667320475E-02 
466	 4.20060023033934E-02 
467	 4.20180242686291E-02 
468	 4.19927599746629E-02 
469	 4.19728828860357E-02 
470	 4.20115947546507E-02 
471	 4.21850206301922E-02 
472	 4.22232652562916E-02 
473	 4.21484519890644E-02 
474	 4.22065219032235E-02 
475	 4.21773163661264E-02 
476	 4.21489902023389E-02 
