Wavelength	Tablay400100.asd
350	 0.211035893759861 
351	 0.161440775598764 
352	 0.150823649188484 
353	 0.198931998692127 
354	 0.206541900672235 
355	 0.166930545710243 
356	 0.16271485938367 
357	 0.233291000103638 
358	 0.165201437965896 
359	 0.14615356148458 
360	 0.190501017358352 
361	 0.223065012829289 
362	 0.163699263902926 
363	 0.138442187992319 
364	 0.194479743655096 
365	 0.222813687727399 
366	 0.167364253021801 
367	 0.125054239718652 
368	 0.162368073130714 
369	 0.160179405665063 
370	 0.126794919618112 
371	 0.111974186953314 
372	 0.172539668415726 
373	 0.15071986928915 
374	 0.130823794897006 
375	 0.148311829139877 
376	 0.134240655731009 
377	 9.27708602994079E-02 
378	 8.57293543711373E-02 
379	 0.133954837015319 
380	 0.128467989999642 
381	 0.123643836539039 
382	 0.134321125458037 
383	 0.143619019668722 
384	 0.110178709688269 
385	 0.089784073755912 
386	 9.69171764628791E-02 
387	 6.41610955423668E-02 
388	 0.106656957734128 
389	 0.144420780157456 
390	 0.10622795528379 
391	 0.125192993626692 
392	 0.132289408296925 
393	 0.111157971230678 
394	 8.31404326161994E-02 
395	 6.46597144060739E-02 
396	 6.67781966782452E-02 
397	 8.51896062355677E-02 
398	 0.101607037602256 
399	 0.091703051725861 
400	 8.10225163215212E-02 
401	 9.34080873166052E-02 
402	 8.97373811292713E-02 
403	 7.92593000002178E-02 
404	 7.02634308270125E-02 
405	 6.92224536158115E-02 
406	 8.57982534931957E-02 
407	 0.086219600122841 
408	 6.26302973503658E-02 
409	 6.61913429915076E-02 
410	 6.84579721801626E-02 
411	 6.92484143350089E-02 
412	 7.37247117032326E-02 
413	 7.01547980544822E-02 
414	 7.04156545397954E-02 
415	 7.49625219994716E-02 
416	 7.37667256468632E-02 
417	 7.52394999745276E-02 
418	 6.72240459589544E-02 
419	 5.10994313832564E-02 
420	 6.92118530906149E-02 
421	 6.59242800552737E-02 
422	 5.59938135493441E-02 
423	 7.16255445136396E-02 
424	 6.49836727511063E-02 
425	 0.061184640575952 
426	 6.65780558927099E-02 
427	 6.15974182939144E-02 
428	 6.23568202815031E-02 
429	 6.38678382251816E-02 
430	 6.07105481713516E-02 
431	 5.88036705758984E-02 
432	 5.93723456949731E-02 
433	 6.05216941674214E-02 
434	 0.05919286250083 
435	 5.74117923744731E-02 
436	 6.13151595385562E-02 
437	 0.068300989388821 
438	 6.24373988819016E-02 
439	 5.69706471769245E-02 
440	 5.42246168668148E-02 
441	 5.37426515989795E-02 
442	 5.74775237048053E-02 
443	 5.81667068450718E-02 
444	 5.53335990506254E-02 
445	 5.39338090741959E-02 
446	 5.56126860764004E-02 
447	 5.62155980168445E-02 
448	 5.43255542628069E-02 
449	 5.66397500068722E-02 
450	 5.55055496724409E-02 
451	 0.05330065052399 
452	 5.50094017102238E-02 
453	 5.75731761464876E-02 
454	 5.73587035656598E-02 
455	 5.47780174475039E-02 
456	 0.054474054454158 
457	 5.44036416148418E-02 
458	 5.51945441571966E-02 
459	 5.63139088604837E-02 
460	 5.16589517006458E-02 
461	 5.27972619780275E-02 
462	 5.68144082073289E-02 
463	 5.43732642403088E-02 
464	 5.34555281191445E-02 
465	 0.053278802567762 
466	 5.28825205118655E-02 
467	 5.24144951040606E-02 
468	 5.26396613917407E-02 
469	 5.29750395777228E-02 
470	 5.25467506228005E-02 
471	 5.06087559357891E-02 
472	 5.12285754175602E-02 
473	 5.36023604057995E-02 
474	 5.33503497485767E-02 
475	 5.19434189361808E-02 
476	 5.18245720631871E-02 
477	 5.32791459228651E-02 
478	 5.15476040827395E-02 
479	 0.050917952340142 
480	 0.051292016249231 
481	 5.12743117144439E-02 
482	 5.25002598326916E-02 
483	 5.20816283412068E-02 
484	 5.03710759174193E-02 
485	 5.14499782565936E-02 
486	 5.19285426317941E-02 
487	 5.12330790742702E-02 
488	 5.00199006934246E-02 
489	 5.07069694820331E-02 
490	 5.06627811637686E-02 
491	 4.96103712843175E-02 
492	 4.87610317558275E-02 
493	 4.94212705193626E-02 
494	 5.01947536589599E-02 
495	 5.03203477929239E-02 
496	 5.05900237322169E-02 
497	 5.04891891237401E-02 
498	 4.95612871213498E-02 
499	 4.79987927990344E-02 
500	 4.85912124013664E-02 
501	 4.96964210084292E-02 
502	 5.01034433165388E-02 
503	 4.92705628391507E-02 
504	 4.87055372683311E-02 
505	 4.85634735021718E-02 
506	 4.88518969381852E-02 
507	 5.01443497053715E-02 
508	 4.99343637951584E-02 
509	 4.89614264432464E-02 
510	 4.90825204458624E-02 
511	 4.89916699751407E-02 
512	 4.87648068522725E-02 
513	 4.85132501105855E-02 
514	 4.82503844763251E-02 
515	 4.79718604104497E-02 
516	 4.78790184932099E-02 
517	 4.79172356105984E-02 
518	 4.68980147633024E-02 
519	 0.046441295393741 
520	 4.67477658088471E-02 
521	 4.70099366843135E-02 
522	 4.70171636035902E-02 
523	 4.71256856573879E-02 
524	 0.047446081333123 
525	 4.74653470387182E-02 
526	 4.71720284523882E-02 
527	 0.046960005861771 
528	 4.71892933946221E-02 
529	 4.71596893009927E-02 
530	 4.70216368912696E-02 
531	 4.69001065440155E-02 
532	 4.68379155906132E-02 
533	 0.047130584221266 
534	 4.72208450031633E-02 
535	 4.67915235349911E-02 
536	 4.66729807645213E-02 
537	 4.67986347990886E-02 
538	 4.69089122712921E-02 
539	 4.67083766942627E-02 
540	 4.66490426730249E-02 
541	 4.67682153839443E-02 
542	 4.68361187919112E-02 
543	 4.62408484827194E-02 
544	 4.61349467558715E-02 
545	 4.62662477876075E-02 
546	 4.60990344550552E-02 
547	 4.58406777847072E-02 
548	 4.60615737365331E-02 
549	 4.64310561988696E-02 
550	 4.59168101371896E-02 
551	 4.60190248970225E-02 
552	 4.61909752721041E-02 
553	 4.59617305280944E-02 
554	 4.60051639775716E-02 
555	 4.61306198461014E-02 
556	 4.62343564245958E-02 
557	 4.62480970744032E-02 
558	 4.61762020931092E-02 
559	 0.04598950663471 
560	 4.58228388434389E-02 
561	 4.60410163150366E-02 
562	 0.045904296082562 
563	 4.58486522329838E-02 
564	 4.62430576111192E-02 
565	 4.59568208901215E-02 
566	 4.57237735127606E-02 
567	 4.57422175980563E-02 
