Wavelength	TC7.001
350	 0.135567918419838 
351	 0.142594203352928 
352	 0.139949083328247 
353	 0.127093374729156 
354	 0.125322967767715 
355	 0.124014005064964 
356	 0.120595335960388 
357	 0.115279912948608 
358	 0.111672885715961 
359	 0.102738328278065 
360	 0.096937470138073 
361	 0.105831913650036 
362	 0.1035061404109 
363	 0.094225712120533 
364	 8.55234265327454E-02 
365	 8.51228609681129E-02 
366	 8.93900766968727E-02 
367	 9.01170447468758E-02 
368	 8.41315612196922E-02 
369	 8.65525230765343E-02 
370	 8.60777944326401E-02 
371	 8.33058431744576E-02 
372	 8.42904523015022E-02 
373	 8.08073878288269E-02 
374	 7.87386745214462E-02 
375	 7.97999352216721E-02 
376	 7.81423822045326E-02 
377	 7.62575790286064E-02 
378	 7.50035792589188E-02 
379	 7.41388872265816E-02 
380	 7.07851573824883E-02 
381	 7.03775435686111E-02 
382	 7.03524425625801E-02 
383	 6.51054531335831E-02 
384	 6.73267394304276E-02 
385	 6.99998587369919E-02 
386	 6.82911276817322E-02 
387	 6.35648518800735E-02 
388	 6.09780810773373E-02 
389	 6.12754561007023E-02 
390	 6.29333406686783E-02 
391	 6.19262605905533E-02 
392	 6.13578408956528E-02 
393	 6.15212619304657E-02 
394	 6.07633627951145E-02 
395	 5.75746484100819E-02 
396	 5.68446442484856E-02 
397	 5.91835975646973E-02 
398	 5.71213699877262E-02 
399	 5.71430735290051E-02 
400	 5.66578470170498E-02 
401	 5.28678633272648E-02 
402	 5.24934306740761E-02 
403	 5.29568493366241E-02 
404	 5.26435635983944E-02 
405	 5.11546395719051E-02 
406	 5.10015077888966E-02 
407	 5.08904308080673E-02 
408	 5.00785894691944E-02 
409	 0.050051037222147 
410	 4.86476570367813E-02 
411	 4.74564954638481E-02 
412	 4.83796149492264E-02 
413	 4.89962808787823E-02 
414	 4.76095676422119E-02 
415	 4.57658544182777E-02 
416	 4.74127940833569E-02 
417	 4.75234538316727E-02 
418	 4.70066033303738E-02 
419	 0.047040905803442 
420	 4.70281988382339E-02 
421	 4.63384315371513E-02 
422	 4.58132065832615E-02 
423	 4.64782156050205E-02 
424	 4.65209148824215E-02 
425	 4.61609959602356E-02 
426	 4.57990169525146E-02 
427	 4.58294935524464E-02 
428	 4.56989295780659E-02 
429	 4.57556545734406E-02 
430	 4.61976639926434E-02 
431	 4.62047979235649E-02 
432	 4.62454445660114E-02 
433	 4.62400540709496E-02 
434	 4.59063611924648E-02 
435	 4.60158921778202E-02 
436	 4.62515167891979E-02 
437	 4.63680028915405E-02 
438	 4.64118793606758E-02 
439	 4.65921647846699E-02 
440	 4.68430481851101E-02 
441	 4.70569916069508E-02 
442	 4.73507642745972E-02 
443	 4.74983640015125E-02 
444	 4.74919229745865E-02 
445	 4.75092306733131E-02 
446	 0.047705415636301 
447	 4.79255616664886E-02 
448	 4.80681844055653E-02 
449	 4.82775159180164E-02 
450	 4.83637228608131E-02 
451	 4.84288781881332E-02 
452	 4.86044362187386E-02 
453	 4.84665296971798E-02 
454	 4.84445095062256E-02 
455	 4.86175529658794E-02 
456	 4.86263483762741E-02 
457	 4.85065542161465E-02 
458	 4.83522340655327E-02 
459	 4.82834726572037E-02 
460	 4.84772920608521E-02 
461	 4.84497286379337E-02 
462	 4.82020080089569E-02 
463	 4.80281226336956E-02 
464	 4.81488853693008E-02 
465	 4.82520833611488E-02 
466	 4.81256656348705E-02 
467	 4.77795749902725E-02 
468	 4.78930696845055E-02 
469	 0.048172552138567 
470	 4.81791161000729E-02 
471	 4.81987185776234E-02 
472	 4.81524020433426E-02 
473	 4.81099598109722E-02 
474	 4.82344180345535E-02 
475	 4.81718294322491E-02 
476	 4.80890944600105E-02 
477	 0.048135481774807 
478	 4.82454709708691E-02 
479	 4.83126267790794E-02 
480	 4.84296679496765E-02 
481	 4.87049631774426E-02 
482	 4.88131120800972E-02 
483	 4.89385649561882E-02 
484	 4.91260513663292E-02 
485	 0.049224566668272 
486	 4.95549365878105E-02 
487	 4.97494302690029E-02 
488	 4.96030375361443E-02 
489	 4.98782657086849E-02 
490	 5.02161979675293E-02 
491	 5.05164004862309E-02 
492	 5.08268289268017E-02 
493	 5.10726496577263E-02 
494	 5.13572171330452E-02 
495	 5.17474338412285E-02 
496	 5.22330217063427E-02 
497	 5.25468103587627E-02 
498	 5.28628565371037E-02 
499	 0.053396575152874 
500	 5.38761503994465E-02 
501	 5.43507002294064E-02 
502	 5.48267029225826E-02 
503	 5.52721731364727E-02 
504	 5.58534562587738E-02 
505	 0.056527990847826 
506	 5.72089813649654E-02 
507	 5.77971749007702E-02 
508	 5.84181509912014E-02 
509	 5.90816847980022E-02 
510	 0.059754990041256 
511	 6.04795143008232E-02 
512	 6.13920576870441E-02 
513	 6.24139010906219E-02 
514	 6.31920173764229E-02 
515	 6.39534145593643E-02 
516	 6.48249462246895E-02 
517	 0.065845750272274 
