Wavelength	1a.000
350	 0.142391592264175 
351	 0.140634462237358 
352	 0.138885661959648 
353	 0.136816784739494 
354	 0.13608156144619 
355	 0.133281603455544 
356	 0.132003709673882 
357	 0.133523523807526 
358	 0.127602845430374 
359	 0.123008601367474 
360	 0.121959887444973 
361	 0.122780747711658 
362	 0.124620690941811 
363	 0.122843980789185 
364	 0.118122205138206 
365	 0.118092052638531 
366	 0.119768254458904 
367	 0.11945591121912 
368	 0.115880191326141 
369	 0.116042345762253 
370	 0.115268528461456 
371	 0.11372434347868 
372	 0.11403152346611 
373	 0.11414010822773 
374	 0.113407723605633 
375	 0.111912705004215 
376	 0.110443323850632 
377	 0.110391765832901 
378	 0.110360845923424 
379	 0.109162889420986 
380	 0.108983345329762 
381	 0.109753370285034 
382	 0.109263949096203 
383	 0.105151608586311 
384	 0.105752520263195 
385	 0.107162922620773 
386	 0.106639750301838 
387	 0.105363115668297 
388	 0.104645945131779 
389	 0.104163132607937 
390	 0.10331504791975 
391	 0.10241062939167 
392	 0.101853929460049 
393	 0.101603232324123 
394	 0.101290978491306 
395	 0.100528508424759 
396	 9.97709706425667E-02 
397	 9.93383899331093E-02 
398	 9.91712883114815E-02 
399	 9.88385453820229E-02 
400	 9.82989594340324E-02 
401	 9.75262820720673E-02 
402	 9.57540348172188E-02 
403	 9.52877700328827E-02 
404	 9.59891676902771E-02 
405	 9.58835780620575E-02 
406	 9.48477685451508E-02 
407	 9.39128175377846E-02 
408	 9.35751795768738E-02 
409	 9.29616391658783E-02 
410	 9.25475805997849E-02 
411	 9.23841744661331E-02 
412	 9.23527702689171E-02 
413	 9.22700688242912E-02 
414	 9.17204767465591E-02 
415	 9.09703150391579E-02 
416	 9.08261090517044E-02 
417	 9.00805667042732E-02 
418	 8.96026343107224E-02 
419	 8.97876620292664E-02 
420	 8.90509113669395E-02 
421	 8.87146070599556E-02 
422	 8.86905342340469E-02 
423	 8.83872359991074E-02 
424	 8.79959464073181E-02 
425	 8.76822844147682E-02 
426	 8.75096470117569E-02 
427	 8.74287337064743E-02 
428	 8.70354995131493E-02 
