Wavelength	2e.000
350	 0.064787894487381 
351	 0.062898613512516 
352	 5.98969124257565E-02 
353	 5.81737868487835E-02 
354	 6.18194304406643E-02 
355	 6.16326332092285E-02 
356	 6.08850382268429E-02 
357	 6.23063035309315E-02 
358	 0.058225691318512 
359	 5.49865067005157E-02 
360	 0.05472681671381 
361	 5.65305687487125E-02 
362	 5.56642785668373E-02 
363	 5.49931041896343E-02 
364	 5.51683232188225E-02 
365	 5.29639348387718E-02 
366	 5.47520890831947E-02 
367	 5.62324486672878E-02 
368	 5.39695657789707E-02 
369	 0.055865827947855 
370	 5.61834685504436E-02 
371	 5.49069195985794E-02 
372	 5.50210513174534E-02 
373	 0.054274894297123 
374	 5.45066334307194E-02 
375	 5.60986809432507E-02 
376	 5.68948276340961E-02 
377	 5.60875236988068E-02 
378	 5.57011738419533E-02 
379	 5.69085031747818E-02 
380	 5.49010410904884E-02 
381	 0.055748026818037 
382	 5.72443008422852E-02 
383	 5.33981136977673E-02 
384	 5.35954609513283E-02 
385	 5.56711852550507E-02 
386	 5.66524267196655E-02 
387	 5.44110536575317E-02 
388	 5.37156835198402E-02 
389	 0.053899984806776 
390	 5.33497929573059E-02 
391	 5.28984628617764E-02 
392	 5.33022172749043E-02 
393	 5.41330836713314E-02 
394	 5.43312802910805E-02 
395	 5.50443045794964E-02 
396	 5.54116852581501E-02 
397	 5.50197027623653E-02 
398	 5.45724183320999E-02 
399	 5.37532083690166E-02 
400	 5.31785301864147E-02 
401	 5.33614084124565E-02 
402	 5.32819293439388E-02 
403	 5.40300868451595E-02 
404	 5.48426583409309E-02 
405	 5.38225322961807E-02 
406	 5.35376742482185E-02 
407	 5.36887422204018E-02 
408	 0.053753923624754 
409	 5.36299087107182E-02 
410	 5.36715611815453E-02 
411	 5.38554787635803E-02 
412	 5.40355034172535E-02 
413	 5.42193725705147E-02 
414	 5.40245175361633E-02 
415	 5.36624789237976E-02 
416	 5.38377724587917E-02 
417	 5.40561564266682E-02 
418	 5.39440512657166E-02 
419	 5.35413399338722E-02 
420	 5.37981912493706E-02 
421	 5.38089908659458E-02 
422	 5.36646209657192E-02 
423	 5.37695474922657E-02 
424	 5.37491701543331E-02 
425	 5.33419325947762E-02 
