Wavelength	spectrum00017.asd
350	 3.23981467911766E-02 
351	 2.99130690014502E-02 
352	 2.96027546846189E-02 
353	 3.14525694197513E-02 
354	 3.12511231668399E-02 
355	 3.17435058520124E-02 
356	 3.16027233054571E-02 
357	 2.99250823948064E-02 
358	 2.95568758301743E-02 
359	 2.88965088516084E-02 
360	 0.028954423232125 
361	 3.13409320390789E-02 
362	 0.031463095000794 
363	 3.04961352324626E-02 
364	 2.96081802488002E-02 
365	 2.91208132866643E-02 
366	 2.95131609303324E-02 
367	 2.97920573173958E-02 
368	 2.91929357289554E-02 
369	 2.87178018607547E-02 
370	 2.93449121179667E-02 
371	 3.03082876185349E-02 
372	 3.01295371607466E-02 
373	 3.07571270688086E-02 
374	 3.06019742680211E-02 
375	 2.97196068673079E-02 
376	 3.10047800359049E-02 
377	 3.12117624254593E-02 
378	 3.05846374342102E-02 
379	 3.01657974644011E-02 
380	 3.03327404026054E-02 
381	 3.07369525060984E-02 
382	 3.09257225124928E-02 
383	 3.05314255000482E-02 
384	 3.02707245705443E-02 
385	 0.030919298170951 
386	 0.031785614124337 
387	 2.99559916245539E-02 
388	 2.99821461933424E-02 
389	 3.08017369766732E-02 
390	 3.05424772610945E-02 
391	 3.04131725127335E-02 
392	 3.07362866731188E-02 
393	 3.12215108135938E-02 
394	 3.12544045203908E-02 
395	 3.12742230324921E-02 
396	 3.13740440452234E-02 
397	 3.15309181629383E-02 
398	 3.16449442124096E-02 
399	 3.11787101956985E-02 
400	 3.08519305254564E-02 
401	 3.12952851836011E-02 
402	 3.11650710010694E-02 
403	 0.031299971006405 
404	 3.15489575587168E-02 
405	 3.10844486947558E-02 
406	 3.10522030510897E-02 
407	 3.10943060384295E-02 
408	 3.10355298506204E-02 
409	 3.15421971856905E-02 
410	 3.18508369937614E-02 
411	 3.17943886818422E-02 
412	 3.14974859849928E-02 
413	 3.13694259658386E-02 
414	 0.031405871125113 
415	 3.14898864570984E-02 
416	 3.14438756094739E-02 
417	 3.14438458888087E-02 
418	 3.14342745838828E-02 
419	 3.13686793668083E-02 
420	 3.13339770365144E-02 
421	 3.10726385769204E-02 
422	 3.09650606449754E-02 
423	 3.14515546224686E-02 
424	 3.16278720724633E-02 
425	 0.031513487818683 
426	 3.13148662145479E-02 
427	 3.13465866050691E-02 
428	 0.03119471557107 
429	 3.11785718570637E-02 
430	 3.14761385627465E-02 
431	 3.13256686031173E-02 
432	 3.13770190420016E-02 
433	 3.15754388675606E-02 
434	 3.15080865742326E-02 
435	 3.14547865147993E-02 
436	 3.13746734308561E-02 
437	 3.12766851181618E-02 
438	 3.13024367059834E-02 
439	 3.13719141347785E-02 
440	 3.13422980484024E-02 
441	 3.11678943902615E-02 
442	 3.12770933937026E-02 
443	 3.13473875977957E-02 
444	 0.031337040794787 
445	 3.14363113762658E-02 
446	 3.15122869585364E-02 
447	 0.031503138267587 
448	 3.14069817612656E-02 
449	 3.13104802560484E-02 
450	 3.12856195102418E-02 
451	 3.13198815867534E-02 
452	 3.13557335757095E-02 
453	 3.13204930327542E-02 
454	 3.13737520824636E-02 
455	 3.14869641447517E-02 
456	 0.031414626407379 
457	 3.14165334851484E-02 
458	 3.14410200833699E-02 
459	 3.14103307537122E-02 
460	 3.13683550267691E-02 
461	 3.14620437414204E-02 
462	 3.15305748704234E-02 
463	 3.13115798649792E-02 
464	 3.12827767032554E-02 
465	 0.03135610173416 
466	 3.13965877860913E-02 
467	 3.13000568790926E-02 
468	 3.11965185091793E-02 
469	 3.11890048966646E-02 
470	 3.13282598526007E-02 
471	 3.15438626437619E-02 
472	 3.14889609098966E-02 
473	 0.031313845839676 
474	 3.15169767053355E-02 
475	 3.14684162227916E-02 
476	 3.13438024714466E-02 
477	 3.13216149280848E-02 
478	 3.12865565769061E-02 
479	 3.13116767617988E-02 
480	 3.13250402563454E-02 
481	 3.12497924436349E-02 
482	 0.031350795638463 
483	 3.13991212871575E-02 
484	 3.13336288063873E-02 
485	 3.13243183611488E-02 
486	 3.15522626722857E-02 
487	 3.17144389345155E-02 
488	 0.031572140979478 
489	 0.031419662496945 
490	 3.14028236942527E-02 
491	 3.14975053523012E-02 
492	 3.15675461890213E-02 
493	 0.031537511173227 
494	 3.14941992921351E-02 
495	 3.14904186396393E-02 
496	 3.14890072203087E-02 
497	 3.14394860491096E-02 
498	 0.03144470470652 
499	 3.15790322162749E-02 
500	 3.15710480894706E-02 
501	 3.15002923507709E-02 
502	 3.14386012425239E-02 
503	 3.14343087045803E-02 
504	 3.14937736620939E-02 
505	 3.15424944383777E-02 
506	 3.15246058436843E-02 
507	 3.14485248123814E-02 
508	 3.14543853817001E-02 
509	 0.031486918547051 
510	 3.14330246468164E-02 
511	 3.14690143141192E-02 
512	 3.14982629098191E-02 
513	 3.14774332095242E-02 
514	 0.031461840099475 
515	 3.14634293448168E-02 
516	 3.14359671074831E-02 
517	 3.13701765382409E-02 
518	 0.03145528476965 
519	 3.14601566497531E-02 
520	 3.14136411658147E-02 
521	 3.15058238408904E-02 
522	 3.14941183673881E-02 
523	 3.14579533885725E-02 
524	 3.14671179592584E-02 
525	 3.14863175661491E-02 
526	 0.031453831215013 
527	 3.14279458077979E-02 
528	 3.14757102887954E-02 
529	 3.14371175951238E-02 
530	 0.031440122127303 
531	 3.14955444898632E-02 
532	 3.14755685038178E-02 
533	 3.14821472098838E-02 
534	 3.14855240076822E-02 
535	 3.14588404634281E-02 
536	 3.14683504709178E-02 
537	 3.14603625984099E-02 
538	 0.031431413772392 
539	 0.031405244464569 
540	 3.13717988476885E-02 
541	 3.13466091787059E-02 
542	 3.13385908524546E-02 
543	 0.031342940865766 
544	 3.13594732724056E-02 
545	 3.13409024001528E-02 
546	 3.12617112475928E-02 
547	 3.12474043398534E-02 
548	 3.12766330644322E-02 
549	 3.13080780912739E-02 
550	 3.12923261584157E-02 
551	 3.12726368108762E-02 
552	 0.031299391933259 
553	 3.13763405076337E-02 
554	 3.13860523076788E-02 
555	 3.14145324273529E-02 
556	 3.14719442266899E-02 
557	 0.03153163311615 
558	 3.15739551708843E-02 
559	 3.16567779103729E-02 
560	 3.17649227574046E-02 
561	 3.17732530967287E-02 
562	 0.031774645831287 
563	 3.17584648363809E-02 
564	 3.17129368504536E-02 
565	 3.17345228453288E-02 
566	 3.17008684929788E-02 
567	 3.16206309664986E-02 
568	 3.15979022332572E-02 
569	 3.15697553149526E-02 
570	 3.15488653274476E-02 
571	 3.15354710873664E-02 
572	 3.14693704460374E-02 
573	 3.14871797662522E-02 
574	 0.031556803285863 
575	 3.15826157295884E-02 
576	 3.15388262355286E-02 
577	 3.14828746246942E-02 
578	 3.14339940304994E-02 
579	 3.13620075308708E-02 
580	 3.13474080128653E-02 
581	 3.13605118060884E-02 
582	 3.13637696142806E-02 
583	 3.13842572050657E-02 
584	 0.031397064560034 
585	 3.13888678104406E-02 
586	 0.031362648486081 
587	 3.13977055145135E-02 
588	 3.14112448067928E-02 
589	 3.13811095107043E-02 
590	 3.14171573482948E-02 
591	 3.14159066198142E-02 
592	 3.14078438876234E-02 
593	 3.14396775310908E-02 
594	 3.14414141112305E-02 
595	 3.14397328486874E-02 
596	 3.14348511037743E-02 
597	 3.14040924914853E-02 
598	 0.031387869024012 
599	 0.031406622584936 
600	 3.14428775896368E-02 
601	 3.13898692718243E-02 
602	 3.13987169145026E-02 
603	 3.14444519307865E-02 
604	 3.14387911847967E-02 
605	 3.14398678131874E-02 
606	 3.14423067675093E-02 
607	 3.14456145627836E-02 
608	 0.031461072452987 
609	 3.14639079113943E-02 
610	 3.14585405288958E-02 
611	 3.14600350986005E-02 
612	 3.14994820323207E-02 
613	 3.14848332747622E-02 
614	 3.14383397390204E-02 
615	 3.14468383668484E-02 
616	 3.14230184017467E-02 
617	 3.14032975688952E-02 
618	 3.14170350286074E-02 
619	 3.14589558131266E-02 
620	 3.14297711410738E-02 
621	 0.031386226298814 
622	 3.14084491632404E-02 
623	 3.14043224463773E-02 
624	 3.14101932857672E-02 
625	 3.14251517379532E-02 
626	 3.14115741974251E-02 
627	 3.14021623102311E-02 
628	 3.13992969805101E-02 
629	 3.14011406596681E-02 
630	 3.14141763788757E-02 
631	 0.031394784175729 
632	 3.13732700209807E-02 
633	 3.13972850666778E-02 
634	 3.13804784486706E-02 
635	 3.13531903285236E-02 
636	 3.13505466761362E-02 
637	 0.031399807007065 
638	 3.13992863807543E-02 
639	 3.13654666301587E-02 
640	 3.13452355116055E-02 
641	 3.13825898900803E-02 
642	 3.13805823752883E-02 
643	 3.13473352283878E-02 
644	 3.13511429652131E-02 
645	 3.13500262568696E-02 
646	 3.13479932478078E-02 
647	 0.031346364372853 
648	 3.13319936068865E-02 
649	 3.13496627668627E-02 
650	 3.13672192034085E-02 
651	 0.031345297320147 
652	 3.13186985390887E-02 
653	 3.13195296140978E-02 
654	 3.13316297785161E-02 
655	 3.13057722651725E-02 
656	 3.13079140695175E-02 
657	 3.13109690692768E-02 
658	 3.12984334073027E-02 
659	 3.13095519263243E-02 
660	 3.13108458986882E-02 
661	 3.13075555425719E-02 
662	 3.13162528925428E-02 
663	 3.13386484209098E-02 
664	 3.13135756275177E-02 
665	 3.12631079328773E-02 
666	 3.12898648960912E-02 
667	 3.12899562504469E-02 
668	 0.031291594205991 
669	 3.13141850032169E-02 
670	 3.12809676059904E-02 
671	 0.031279184673806 
672	 3.12979918728063E-02 
673	 0.031291050051515 
674	 3.13061158315389E-02 
675	 3.13196210762526E-02 
676	 3.13124588345486E-02 
677	 3.12788450396183E-02 
678	 3.12796211254362E-02 
679	 3.12895034821146E-02 
680	 0.031280843928422 
681	 0.031287623283291 
682	 3.12851174453425E-02 
683	 3.12776798666179E-02 
684	 3.12809703549116E-02 
685	 3.12606126235183E-02 
686	 3.12503717341429E-02 
687	 3.12626070787951E-02 
688	 3.12704262225584E-02 
689	 3.12730943539796E-02 
690	 3.12650717738938E-02 
691	 3.12474750817014E-02 
692	 3.12437084042517E-02 
693	 3.12431473868191E-02 
694	 3.12460686679229E-02 
695	 3.12566856997467E-02 
696	 3.12476475369767E-02 
697	 3.12357780680919E-02 
698	 3.12311697830851E-02 
699	 3.12245779871649E-02 
700	 0.031219802339092 
701	 3.12152278559845E-02 
702	 3.12099234928796E-02 
703	 0.031210750548373 
704	 0.031215543642594 
705	 3.12178417955253E-02 
706	 3.12104481204475E-02 
707	 3.12090832197941E-02 
708	 3.12057253256848E-02 
709	 0.031197309481772 
710	 3.11939515771434E-02 
711	 3.11987667690899E-02 
712	 3.11995881398805E-02 
713	 3.11894064684798E-02 
714	 0.031201915215274 
715	 3.12124685203512E-02 
716	 3.12051806742168E-02 
717	 3.11784891486503E-02 
718	 3.11984102324838E-02 
719	 3.12162291710362E-02 
720	 3.12013099827044E-02 
721	 3.11799785882406E-02 
722	 3.11650928065158E-02 
723	 3.11718935351799E-02 
724	 3.11995576074803E-02 
725	 3.11895693807468E-02 
726	 3.11846304617842E-02 
727	 3.11867234388905E-02 
728	 3.11709557648023E-02 
729	 3.11687530409444E-02 
730	 3.11681589906544E-02 
731	 3.11648164027087E-02 
732	 3.11771772935939E-02 
733	 3.11686605886608E-02 
734	 3.11562338779532E-02 
735	 3.11641939094263E-02 
736	 3.11834972938611E-02 
737	 3.11855327170874E-02 
738	 3.11722529739496E-02 
739	 3.11670938944424E-02 
740	 0.03118365164539 
741	 3.11912225481758E-02 
742	 3.11805578261111E-02 
743	 3.11824876731306E-02 
744	 0.031178633265498 
745	 3.11726996475293E-02 
746	 3.11727940932014E-02 
747	 3.11840260739334E-02 
748	 3.11853577485047E-02 
749	 3.11739016820797E-02 
750	 3.11596687425738E-02 
751	 3.11551900987845E-02 
752	 0.031170143454946 
753	 3.11934502374795E-02 
754	 3.11897137517736E-02 
755	 3.11623457451557E-02 
756	 3.11496623108858E-02 
757	 3.11684780543467E-02 
758	 3.11486331782734E-02 
759	 3.11475416421459E-02 
760	 3.11484485643324E-02 
761	 3.11149709672806E-02 
762	 3.11231999973031E-02 
763	 3.11325020707443E-02 
764	 3.11280930525344E-02 
765	 3.11312129721238E-02 
766	 3.11205087490198E-02 
767	 3.11078581132729E-02 
768	 3.11091677417856E-02 
769	 3.11392937025868E-02 
770	 3.11396589997556E-02 
771	 3.11268026187487E-02 
772	 0.031133487250945 
773	 3.11192077677497E-02 
774	 3.11003766201428E-02 
775	 0.031091154039202 
776	 3.10988636171802E-02 
777	 3.11001038071297E-02 
778	 3.11034621979657E-02 
779	 3.11078277781574E-02 
780	 3.10871900140259E-02 
781	 3.10800355005661E-02 
782	 3.10829686833347E-02 
783	 3.10868824677481E-02 
784	 3.11124329480909E-02 
785	 3.11125373338552E-02 
786	 3.11003017114974E-02 
787	 3.11152345784137E-02 
788	 0.031110006650551 
789	 3.10929268597319E-02 
790	 3.10826301147546E-02 
791	 3.11006554729097E-02 
792	 3.10938416306584E-02 
793	 3.10808470980933E-02 
794	 3.10847739502706E-02 
795	 0.031103133513461 
796	 3.11125358305813E-02 
797	 3.11123520782854E-02 
798	 3.11076937431805E-02 
799	 3.10813220789703E-02 
800	 3.10585639328093E-02 
801	 3.10519047950076E-02 
802	 3.10599544777155E-02 
803	 3.10705904038005E-02 
804	 3.10672804790182E-02 
805	 3.10557245590217E-02 
806	 3.10736852654737E-02 
807	 3.10845273543856E-02 
808	 3.10827548487841E-02 
809	 3.10744917210476E-02 
810	 3.10743816723872E-02 
811	 3.10752728028602E-02 
812	 3.10782520033058E-02 
813	 0.031084418641099 
814	 3.10734266534972E-02 
815	 3.10756698699176E-02 
816	 3.10863487323893E-02 
817	 3.10715667663695E-02 
818	 3.10737214680311E-02 
819	 3.10693817426578E-02 
820	 3.10501918771008E-02 
821	 3.10477456364569E-02 
822	 3.10601074103734E-02 
823	 3.10722926833017E-02 
824	 3.10734872922575E-02 
825	 3.10806793253056E-02 
826	 3.10690951051723E-02 
827	 3.10593371852611E-02 
828	 3.10794007999226E-02 
829	 3.10705600872922E-02 
830	 3.10682198268752E-02 
831	 3.10803374537348E-02 
832	 0.031086645680133 
833	 3.10925175991542E-02 
834	 0.031083016749358 
835	 3.10659191762994E-02 
836	 0.031085837690808 
837	 3.10935044514947E-02 
838	 3.10936661621819E-02 
839	 3.10994160867422E-02 
840	 3.11097924444535E-02 
841	 3.10961383483426E-02 
842	 3.10763329564341E-02 
843	 3.10787993652175E-02 
844	 3.10804468828593E-02 
845	 3.10674521528093E-02 
846	 3.10573657981029E-02 
847	 3.10821049335617E-02 
848	 3.10915752844917E-02 
849	 3.10874276795914E-02 
850	 3.10730036833536E-02 
851	 3.10476462282962E-02 
852	 0.031063049438213 
853	 3.10896729256302E-02 
854	 3.10989644774076E-02 
855	 3.11049055700064E-02 
856	 3.10771608199055E-02 
857	 3.10520539104326E-02 
858	 3.10679182315014E-02 
859	 3.10962095421282E-02 
860	 3.10748440781842E-02 
861	 3.10442325161909E-02 
862	 0.031075701557995 
863	 3.10755592444098E-02 
864	 3.10665918619628E-02 
865	 3.10604941054596E-02 
866	 3.10525722443002E-02 
867	 0.03103392596093 
868	 3.10604514081277E-02 
869	 3.11102318155262E-02 
870	 3.10533365630756E-02 
871	 3.10428468234028E-02 
872	 3.10496012642623E-02 
873	 3.10423605240912E-02 
874	 3.10787560065979E-02 
875	 3.10817677650491E-02 
876	 3.10590865582051E-02 
877	 3.10481771250968E-02 
878	 3.10889483947063E-02 
879	 3.10969098710312E-02 
880	 3.10716055251312E-02 
881	 3.10551166567853E-02 
882	 3.10593855969115E-02 
883	 3.10760550926393E-02 
884	 0.031088791625376 
885	 3.10818747512661E-02 
886	 3.10826452954539E-02 
887	 3.10845984622414E-02 
888	 3.10929875945803E-02 
889	 3.11258054868111E-02 
890	 3.11109344333906E-02 
891	 3.10872597100064E-02 
892	 3.10854078081498E-02 
893	 3.10854805236423E-02 
894	 3.10921690953701E-02 
895	 3.10948122225097E-02 
896	 3.10885359238636E-02 
897	 3.10939018790786E-02 
898	 3.10752708735601E-02 
899	 0.031054664385513 
900	 3.10586467810354E-02 
901	 3.10505323796246E-02 
902	 3.10452040373309E-02 
903	 3.10587187670737E-02 
904	 3.10899457690794E-02 
905	 3.10483285159039E-02 
906	 3.10379730710753E-02 
907	 0.031077627467107 
908	 3.11085409779081E-02 
909	 3.10586684342902E-02 
910	 3.10254021157142E-02 
911	 3.10360933037956E-02 
912	 3.10347908475067E-02 
913	 3.10871337652132E-02 
914	 3.11129848956947E-02 
915	 0.031080774468307 
916	 3.10546634338234E-02 
917	 3.10791551997533E-02 
918	 3.10829912582394E-02 
919	 3.10474877178534E-02 
920	 3.10955095340499E-02 
921	 3.10497317486185E-02 
922	 3.10145471794872E-02 
923	 3.10716743983295E-02 
924	 3.10545854057721E-02 
925	 3.10590296490036E-02 
926	 3.10750461160573E-02 
927	 3.10688666665567E-02 
928	 3.10388435273588E-02 
929	 3.10484563327036E-02 
930	 3.10538684650315E-02 
931	 3.10012820877627E-02 
932	 3.10027392971978E-02 
933	 3.10140106981129E-02 
934	 3.10265855106409E-02 
935	 3.10459199825652E-02 
936	 3.10285234895226E-02 
937	 3.10365271725777E-02 
938	 3.10747026724904E-02 
939	 3.10989801589295E-02 
940	 0.031059744106725 
941	 3.10313353832429E-02 
942	 3.10423159112082E-02 
943	 0.031066495830803 
944	 3.10658166441193E-02 
945	 3.11002906426195E-02 
946	 0.031138475928994 
947	 3.10653988435643E-02 
948	 0.031059027611258 
949	 3.10448390992516E-02 
950	 3.10134161135283E-02 
951	 3.10697735657864E-02 
952	 3.10740634753018E-02 
953	 3.10718784438882E-02 
954	 3.10889394429416E-02 
955	 3.10746963572914E-02 
956	 3.10552376607213E-02 
957	 3.10947168939242E-02 
958	 3.11638015991705E-02 
959	 3.10752168990218E-02 
960	 3.10647250976684E-02 
961	 3.10797470743074E-02 
962	 3.10777110788791E-02 
963	 3.11736154971485E-02 
964	 3.11577386110833E-02 
965	 3.10633471855471E-02 
966	 3.09936772553837E-02 
967	 3.10438587441821E-02 
968	 3.10883153257008E-02 
969	 3.11543830171874E-02 
970	 3.12370227807094E-02 
971	 3.11381390247449E-02 
972	 3.11022807466988E-02 
973	 0.031083367161495 
974	 3.10214715246823E-02 
975	 3.10871969228619E-02 
976	 3.10545217932116E-02 
977	 3.10097454056996E-02 
978	 3.10666496301429E-02 
979	 3.11055156612129E-02 
980	 3.10615616134972E-02 
981	 3.10304858440093E-02 
982	 3.10891252856604E-02 
983	 0.031057617809594 
984	 3.10680544516317E-02 
985	 3.11269853432864E-02 
986	 3.11879092778376E-02 
987	 3.11970162068298E-02 
988	 3.11498077684279E-02 
989	 3.10839630128252E-02 
990	 3.10408265701485E-02 
991	 3.10101101082603E-02 
992	 3.10070934744333E-02 
993	 3.10533065726351E-02 
994	 3.11352614916073E-02 
995	 3.11227402539204E-02 
996	 3.11815373237103E-02 
997	 3.11536931870682E-02 
998	 3.09476458435141E-02 
999	 3.10706451245852E-02 
1000	 3.12097182395529E-02 
1001	 3.21981786489547E-02 
1002	 3.22013999576946E-02 
1003	 3.22346755116175E-02 
1004	 3.22338136563175E-02 
1005	 3.22132721738145E-02 
1006	 3.22169911715383E-02 
1007	 0.032220689722377 
1008	 3.22216392884704E-02 
1009	 3.22379870417438E-02 
1010	 0.032248683816828 
1011	 3.22517060926846E-02 
1012	 3.22539511741803E-02 
1013	 3.22553733286089E-02 
1014	 0.032260672596105 
1015	 3.22554751905527E-02 
1016	 3.22699660858952E-02 
1017	 3.22829443134438E-02 
1018	 3.22878858688771E-02 
1019	 0.032304881877691 
1020	 3.23125006453358E-02 
1021	 3.23131234350405E-02 
1022	 3.23132640584176E-02 
1023	 0.032313507010172 
1024	 0.032308411049682 
1025	 3.22972765359471E-02 
1026	 3.22884045436856E-02 
1027	 3.22801956061575E-02 
1028	 3.22678525119208E-02 
1029	 0.032230222841445 
1030	 3.22265555620909E-02 
1031	 3.22512744200167E-02 
1032	 3.22579221954315E-02 
1033	 3.22625229914356E-02 
1034	 0.032262606194267 
1035	 3.22203016357068E-02 
1036	 3.22135073345448E-02 
1037	 3.22308797739151E-02 
1038	 3.22208181527677E-02 
1039	 3.22032876841559E-02 
1040	 0.032206881163654 
1041	 3.21969011205348E-02 
1042	 3.21892658615063E-02 
1043	 3.22008889923327E-02 
1044	 3.22189610445386E-02 
1045	 3.22094601410838E-02 
1046	 3.22050692464611E-02 
1047	 3.22141424054213E-02 
1048	 0.032213539810937 
1049	 3.21987553607364E-02 
1050	 3.21801060677227E-02 
1051	 3.21740040770364E-02 
1052	 3.21873398109839E-02 
1053	 3.21959933066675E-02 
1054	 0.032216999633346 
1055	 3.22266499743207E-02 
1056	 3.22363103693525E-02 
