Wavelength	Tablay400057.asd
350	 0.18746695597847 
351	 0.160229408274472 
352	 0.125254731798892 
353	 0.148939574793443 
354	 0.104251730872415 
355	 0.155399830938354 
356	 0.176633035297193 
357	 7.97134516508811E-02 
358	 0.100764852417666 
359	 0.125464771168019 
360	 0.142103627357004 
361	 0.175445345748441 
362	 0.125036339741466 
363	 8.24489117969303E-02 
364	 8.39747370402257E-02 
365	 5.45594499775337E-02 
366	 4.96581474306944E-02 
367	 6.04493358868194E-02 
368	 6.61786692925527E-02 
369	 7.09127424220219E-02 
370	 6.30595132122588E-02 
371	 5.77919515779172E-02 
372	 8.16894054310335E-02 
373	 0.118681281820387 
374	 0.109798349465965 
375	 5.84647788996776E-02 
376	 0.052443906143889 
377	 8.17036741814317E-02 
378	 0.113943278562917 
379	 0.114868072771311 
380	 7.55667291061459E-02 
381	 6.29123800773945E-02 
382	 7.85779143863511E-02 
383	 7.84648356513537E-02 
384	 0.052745150335691 
385	 4.09020770576562E-02 
386	 6.04117489883999E-02 
387	 8.54641767098127E-02 
388	 8.42716231137614E-02 
389	 7.75044782534219E-02 
390	 8.79690491813265E-02 
391	 9.78578731209756E-02 
392	 9.47574377640019E-02 
393	 8.14671696931237E-02 
394	 7.00185649254367E-02 
395	 6.30015949971772E-02 
396	 7.53472615374107E-02 
397	 9.62536510147531E-02 
398	 7.06770710945669E-02 
399	 7.61996317410977E-02 
400	 8.85560859017364E-02 
401	 7.16159169568354E-02 
402	 6.21257653711993E-02 
403	 6.22782277625445E-02 
404	 6.85101374591075E-02 
405	 7.39032626748395E-02 
406	 8.14613909265389E-02 
407	 7.65744938149706E-02 
408	 0.059848894134869 
409	 6.58305763124619E-02 
410	 6.67971975458533E-02 
411	 6.57203711417663E-02 
412	 7.07175729230595E-02 
413	 6.80341944220949E-02 
414	 5.75696865348873E-02 
415	 4.96375677429352E-02 
416	 6.07246920565111E-02 
417	 5.95344713585503E-02 
418	 5.47972365977019E-02 
419	 0.055788090497805 
420	 5.87343120212243E-02 
421	 5.36655290798138E-02 
422	 0.049997045211538 
423	 5.96601271414641E-02 
424	 5.75914543093899E-02 
425	 0.056423376963783 
426	 5.82586643743135E-02 
427	 5.09413936401172E-02 
428	 0.053238809440647 
429	 5.48768540901426E-02 
430	 0.048573812181537 
431	 5.50933601317157E-02 
432	 5.63414628928412E-02 
433	 5.21307561655683E-02 
434	 5.13236451091341E-02 
435	 4.95910915748993E-02 
436	 5.11876335376496E-02 
437	 5.55935418175682E-02 
438	 5.42667755356196E-02 
439	 5.02574991161596E-02 
440	 4.79079355390449E-02 
441	 5.02644053748225E-02 
442	 5.45325242816112E-02 
443	 5.36511148299488E-02 
444	 4.88419780392139E-02 
445	 4.74240720968129E-02 
446	 4.68595386995868E-02 
447	 0.047924952577659 
448	 5.01073437742136E-02 
449	 4.92518737834542E-02 
450	 4.84564364046934E-02 
451	 4.90061381581835E-02 
