Carpeta,Tabla,Espectro,Pigmento,Aglutinante,Base de preparación
Tablas1,C1,A100000.asd,Ocre de mina ingles,Aceite de linaza,carbonato de calcio
Tablas1,C1,A100001.asd,Ocre de mina ingles,Aceite de linaza,carbonato de calcio
Tablas1,C1,A100002.asd,Ocre de mina ingles,Aceite de linaza,carbonato de calcio
Tablas1,C1,A200000.asd,Ocre de mina ingles,yema de huevo,carbonato de calcio
Tablas1,C1,A200001.asd,Ocre de mina ingles,yema de huevo,carbonato de calcio
Tablas1,C1,A200002.asd,Ocre de mina ingles,yema de huevo,carbonato de calcio
Tablas1,C1,A300000.asd,Ocre de mina ingles,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C1,A300001.asd,Ocre de mina ingles,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C1,A300002.asd,Ocre de mina ingles,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C1,A400000.asd,Ocre de mina ingles,cola de conejo,carbonato de calcio
Tablas1,C1,A400001.asd,Ocre de mina ingles,cola de conejo,carbonato de calcio
Tablas1,C1,A400002.asd,Ocre de mina ingles,cola de conejo,carbonato de calcio
Tablas1,C1,A500000.asd,Ocre de mina ingles,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C1,A500001.asd,Ocre de mina ingles,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C1,A500002.asd,Ocre de mina ingles,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C1,B100000.asd,Oropimente,Aceite de linaza,carbonato de calcio
Tablas1,C1,B100001.asd,Oropimente,Aceite de linaza,carbonato de calcio
Tablas1,C1,B100002.asd,Oropimente,Aceite de linaza,carbonato de calcio
Tablas1,C1,B200000.asd,Oropimente,yema de huevo,carbonato de calcio
Tablas1,C1,B200001.asd,Oropimente,yema de huevo,carbonato de calcio
Tablas1,C1,B200002.asd,Oropimente,yema de huevo,carbonato de calcio
Tablas1,C1,B300000.asd,Oropimente,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C1,B300001.asd,Oropimente,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C1,B300002.asd,Oropimente,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C1,B400000.asd,Oropimente,cola de conejo,carbonato de calcio
Tablas1,C1,B400001.asd,Oropimente,cola de conejo,carbonato de calcio
Tablas1,C1,B400002.asd,Oropimente,cola de conejo,carbonato de calcio
Tablas1,C1,B500000.asd,Oropimente,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C1,B500001.asd,Oropimente,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C1,B500002.asd,Oropimente,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C1,C100000.asd,Amarillo de plomo estaño,Aceite de linaza,carbonato de calcio
Tablas1,C1,C100001.asd,Amarillo de plomo estaño,Aceite de linaza,carbonato de calcio
Tablas1,C1,C100002.asd,Amarillo de plomo estaño,Aceite de linaza,carbonato de calcio
Tablas1,C1,C200000.asd,Amarillo de plomo estaño,yema de huevo,carbonato de calcio
Tablas1,C1,C200001.asd,Amarillo de plomo estaño,yema de huevo,carbonato de calcio
Tablas1,C1,C200002.asd,Amarillo de plomo estaño,yema de huevo,carbonato de calcio
Tablas1,C1,C300000.asd,Amarillo de plomo estaño,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C1,C300001.asd,Amarillo de plomo estaño,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C1,C300002.asd,Amarillo de plomo estaño,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C1,C400000.asd,Amarillo de plomo estaño,cola de conejo,carbonato de calcio
Tablas1,C1,C400001.asd,Amarillo de plomo estaño,cola de conejo,carbonato de calcio
Tablas1,C1,C400002.asd,Amarillo de plomo estaño,cola de conejo,carbonato de calcio
Tablas1,C1,C500000.asd,Amarillo de plomo estaño,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C1,C500001.asd,Amarillo de plomo estaño,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C1,C500002.asd,Amarillo de plomo estaño,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C1,D100000.asd,Ancorca,Aceite de linaza,carbonato de calcio
