Wavelength	Echave.054
350	 5.66588342189789E-02 
351	 5.88515289127827E-02 
352	 6.20481185615063E-02 
353	 0.060443677008152 
354	 0.054087195545435 
355	 5.45291863381863E-02 
356	 5.74257969856262E-02 
357	 5.67589327692986E-02 
358	 5.28572276234627E-02 
359	 5.00788129866123E-02 
360	 4.88426312804222E-02 
361	 4.76978905498981E-02 
362	 4.85162436962128E-02 
363	 4.86364588141441E-02 
364	 0.047667358070612 
365	 4.85645830631256E-02 
366	 4.70346994698048E-02 
367	 0.044417317956686 
368	 4.28600795567036E-02 
369	 4.29102033376694E-02 
370	 4.08299565315247E-02 
371	 3.86481508612633E-02 
372	 4.05783131718636E-02 
373	 4.05777469277382E-02 
374	 4.00630868971348E-02 
375	 3.97725403308868E-02 
376	 3.83437126874924E-02 
377	 3.94959188997746E-02 
378	 3.96846495568752E-02 
379	 3.63799668848515E-02 
380	 3.63301746547222E-02 
381	 3.80053967237473E-02 
382	 3.90155129134655E-02 
383	 3.72630096971989E-02 
384	 3.71215865015984E-02 
385	 3.84031906723976E-02 
386	 3.90168838202953E-02 
387	 3.47815789282322E-02 
388	 3.46744619309902E-02 
389	 3.76336239278317E-02 
390	 0.039561003446579 
391	 3.60620804131031E-02 
392	 3.29193845391274E-02 
393	 3.23471948504448E-02 
394	 3.36432829499245E-02 
395	 3.43564227223396E-02 
396	 3.37794274091721E-02 
397	 3.25872600078583E-02 
398	 3.31933833658695E-02 
399	 3.30776982009411E-02 
400	 3.20013761520386E-02 
401	 0.030694916844368 
402	 3.07565666735172E-02 
403	 3.16006205976009E-02 
404	 3.20249423384666E-02 
405	 3.07630263268948E-02 
406	 3.05355507880449E-02 
407	 0.030838655307889 
408	 3.09774708002806E-02 
409	 3.08615546673536E-02 
410	 3.04735600948334E-02 
411	 2.98382099717855E-02 
412	 2.91894823312759E-02 
413	 2.97255758196115E-02 
414	 2.97613516449928E-02 
415	 2.92087104171515E-02 
416	 2.94180624186993E-02 
417	 2.95351855456829E-02 
418	 2.91901864111423E-02 
419	 2.85437013953924E-02 
420	 2.87914369255304E-02 
421	 2.86720991134644E-02 
422	 2.83245928585529E-02 
423	 0.028354911133647 
424	 2.84597910940647E-02 
425	 2.85046920180321E-02 
426	 2.83956248313189E-02 
427	 2.80714631080627E-02 
428	 2.79814731329679E-02 
429	 2.79194712638855E-02 
430	 2.77046374976635E-02 
431	 2.77063008397818E-02 
432	 2.75710597634315E-02 
433	 2.73924618959427E-02 
434	 2.74582412093878E-02 
435	 2.74173635989428E-02 
436	 2.73190550506115E-02 
437	 2.72697824984789E-02 
438	 2.74121668189764E-02 
439	 2.72228121757507E-02 
440	 2.70146820694208E-02 
441	 2.71154791116714E-02 
442	 2.68130898475647E-02 
443	 2.68611032515764E-02 
444	 2.71303933113813E-02 
445	 2.68433671444654E-02 
446	 2.67677325755358E-02 
447	 2.69051976501942E-02 
448	 2.70362626761198E-02 
449	 2.66930647194386E-02 
450	 2.65517979860306E-02 
451	 0.026634257286787 
452	 2.67055984586477E-02 
453	 2.66717970371246E-02 
454	 2.65993904322386E-02 
455	 2.65247151255608E-02 
456	 2.64389365911484E-02 
457	 2.66700889915228E-02 
458	 0.026717571541667 
459	 2.63511054217815E-02 
460	 2.67070420086384E-02 
461	 2.67803110182285E-02 
462	 0.026584766805172 
463	 2.66422815620899E-02 
464	 2.66008153557777E-02 
465	 2.64548547565937E-02 
466	 2.63287536799908E-02 
467	 2.64879781752825E-02 
468	 2.67294589430094E-02 
469	 2.67741363495588E-02 
470	 2.64976248145103E-02 
471	 0.026440130546689 
472	 2.65243928879499E-02 
473	 2.65734102576971E-02 
474	 2.63887606561184E-02 
475	 0.026470260694623 
476	 0.026552913710475 
477	 2.64677684754133E-02 
478	 2.65427101403475E-02 
479	 2.65191979706287E-02 
480	 2.64249499887228E-02 
481	 2.63777002692223E-02 
482	 2.63272412121296E-02 
483	 0.026235319674015 
484	 2.61321794241667E-02 
485	 2.61217653751373E-02 
486	 2.61561404913664E-02 
487	 2.62177605181932E-02 
488	 2.62628477066755E-02 
489	 2.61468663811684E-02 
490	 2.59924363344908E-02 
491	 2.59435009211302E-02 
492	 2.61033605784178E-02 
493	 2.61225719004869E-02 
494	 2.60561350733042E-02 
495	 0.026017852127552 
496	 2.61429231613874E-02 
497	 0.026123721152544 
498	 2.60284785181284E-02 
499	 2.59987879544497E-02 
500	 2.59194653481245E-02 
501	 2.58519574999809E-02 
502	 2.58599985390902E-02 
503	 2.59827952831984E-02 
504	 0.025832811370492 
505	 2.57093254476786E-02 
506	 2.58072819560766E-02 
507	 0.025785194709897 
508	 2.56338678300381E-02 
509	 2.55184434354305E-02 
510	 2.56186183542013E-02 
511	 2.55839433521032E-02 
512	 2.55172252655029E-02 
513	 2.54578664898872E-02 
514	 0.025307435542345 
515	 2.53796968609095E-02 
516	 2.54255142062902E-02 
517	 2.52303183078766E-02 
518	 2.52284575253725E-02 
519	 2.52074394375086E-02 
520	 0.025127224624157 
521	 2.50727366656065E-02 
522	 2.50449571758509E-02 
